area_sqft,bedrooms,bathrooms,age_years,floors,parking_spaces,location,property_type,price
3574,1,1,14,19,1,City Center,Apartment,23603423
3907,3,3,14,19,1,Suburbs,Studio,15844361
1260,2,2,23,4,1,City Center,Apartment,12837137
1694,3,3,21,4,1,Suburbs,Independent House,15265632
1530,2,2,13,11,2,City Center,Independent House,19171296
1495,3,2,25,5,1,Industrial Zone,Apartment,7340662
3492,3,2,27,11,1,City Center,Independent House,30905136
2038,5,5,22,10,2,Waterfront,Apartment,20830670
2569,2,2,13,8,1,Suburbs,Apartment,14425598
866,2,1,23,6,1,Industrial Zone,Independent House,6841976
1638,2,2,1,6,2,Rural,Independent House,11853572
730,5,4,12,8,1,Industrial Zone,Independent House,10008897
1882,4,4,25,15,1,Industrial Zone,Villa,15191203
2535,2,2,13,14,2,Suburbs,Apartment,15286063
3844,3,2,26,11,0,Suburbs,Apartment,20894949
3571,4,4,23,12,0,Suburbs,Apartment,21911457
3319,3,2,18,13,1,Rural,Apartment,13589674
530,3,3,6,8,2,City Center,Apartment,12043032
2085,2,2,2,18,0,Suburbs,Apartment,14793605
3780,1,1,14,1,0,Rural,Apartment,14447432
1169,4,3,22,15,0,Rural,Apartment,9009760
2791,5,5,13,8,0,Industrial Zone,Villa,20215354
1915,3,3,10,11,0,Rural,Independent House,13404390
3885,2,2,14,12,1,Waterfront,Apartment,24836779
3253,2,2,27,12,1,Suburbs,Studio,12613930
2833,4,3,12,4,1,Suburbs,Independent House,24137836
1615,4,3,17,16,1,Suburbs,Apartment,15120645
1355,4,4,25,4,0,Suburbs,Independent House,15825884
2724,4,3,5,5,1,Industrial Zone,Villa,18871543
1584,3,3,2,5,1,City Center,Villa,25439949
859,1,1,18,8,2,Industrial Zone,Apartment,4419772
3785,2,2,14,10,0,Suburbs,Villa,28804266
421,4,3,24,17,1,Rural,Apartment,7093727
2700,3,2,22,9,1,Rural,Villa,17864582
1147,1,1,4,19,2,Suburbs,Independent House,13138295
3304,2,1,27,14,2,Suburbs,Independent House,22637015
874,3,2,9,8,1,Suburbs,Villa,15343802
1482,1,1,6,9,1,City Center,Independent House,16920230
2958,2,1,24,11,2,Suburbs,Apartment,16007139
2447,3,2,16,1,0,City Center,Apartment,19223257
3947,3,2,6,14,0,Suburbs,Independent House,28351672
3147,3,3,21,5,1,Rural,Apartment,13316412
1375,2,1,25,14,0,Rural,Apartment,7050496
2206,4,3,29,4,2,Rural,Apartment,11095641
589,2,1,11,1,2,City Center,Apartment,9895265
3405,2,1,24,19,1,Rural,Studio,8937069
3134,4,3,16,8,1,Suburbs,Villa,29599085
